index,frame,F11,F12,F21,F22,P11,P12,P21,P22,vol_square,vol_rectangle_p,vol_rectangle_m,vol_tot,Psi,Psi_me,Psi_couple,len_c,len_s_r_p,len_s_r_m
734,000,1.0010000000e+00,-2.4389647371e-03,1.9833076024e-03,1.0006934000e+00,1.1087153518e-01,-1.0943786916e-05,8.7570545199e-06,1.4925082242e-01,6.0164094650e-01,2.0547239369e-01,1.9288665981e-01,1.0000000000e-04,5.8240849794e-01,-2.1003544250e-02,-4.7769276642e-02,0.044700469598460295,0.03670780006273327,0.03922977059630926
735,000,1.0010000000e+00,-2.4430939762e-03,1.9866532346e-03,1.0006934000e+00,1.1071338977e-01,-1.0913948156e-05,8.7071807181e-06,1.4944649259e-01,6.0159722222e-01,2.0556155693e-01,1.9284122085e-01,1.0000000000e-04,5.8200894055e-01,-2.1009730754e-02,-4.7785048090e-02,0.04468421885376638,0.03670908050582857,0.03925887108113339
736,000,1.0010000000e+00,-2.4472068776e-03,1.9899674401e-03,1.0006934000e+00,1.1055399374e-01,-1.0880313444e-05,8.6578091031e-06,1.4964267403e-01,6.0165209191e-01,2.0565157750e-01,1.9269633059e-01,1.0000000000e-04,5.8161989306e-01,-2.1015852893e-02,-4.7800668580e-02,0.04466786824574712,0.036710178036763116,0.03929100766952229
737,000,1.0010000000e+00,-2.4513049930e-03,1.9932514675e-03,1.0006934000e+00,1.1039336023e-01,-1.0842961706e-05,8.6089140472e-06,1.4983929803e-01,6.0180984225e-01,2.0572016461e-01,1.9246999314e-01,1.0000000000e-04,5.8124049418e-01,-2.1021896924e-02,-4.7816108116e-02,0.04465141116914643,0.03671109468889111,0.03932639753033483
738,000,1.0010000000e+00,-2.4553897547e-03,1.9965066179e-03,1.0006934000e+00,1.1023150024e-01,-1.0801981954e-05,8.5604686090e-06,1.5003630626e-01,6.0181412894e-01,2.0583161866e-01,1.9235425240e-01,1.0000000000e-04,5.8086995669e-01,-2.1027850433e-02,-4.7831339729e-02,0.04463482978265982,0.03671181780141784,0.039365285500505054
739,000,1.0010000000e+00,-2.4594625120e-03,1.9997342661e-03,1.0006934000e+00,1.1006842395e-01,-1.0757471602e-05,8.5124441850e-06,1.5023364894e-01,6.0167438272e-01,2.0594993141e-01,1.9237568587e-01,1.0000000000e-04,5.8050755804e-01,-2.1033702350e-02,-4.7846339485e-02,0.044618140397541264,0.036712370904748895,0.039407952978345206
740,000,1.0010000000e+00,-2.4635245612e-03,2.0029358741e-03,1.0006934000e+00,1.0990414200e-01,-1.0709534844e-05,8.4648102519e-06,1.5043128319e-01,6.0169581619e-01,2.0590620713e-01,1.9239797668e-01,1.0000000000e-04,5.8015263283e-01,-2.1039442934e-02,-4.7861086424e-02,0.04460134627036605,0.03671275618720424,0.039454711619973326
741,000,1.0010000000e+00,-2.4675771698e-03,2.0061130006e-03,1.0006934000e+00,1.0973866634e-01,-1.0658281128e-05,8.4175341843e-06,1.5062917151e-01,6.0144718793e-01,2.0600565844e-01,1.9254715364e-01,1.0000000000e-04,5.7980456675e-01,-2.1045063733e-02,-4.7875562455e-02,0.04458443199931695,0.03671304348212754,0.039470794264708446
742,000,1.0010000000e+00,-2.4716215955e-03,2.0092673058e-03,1.0006934000e+00,1.0957201106e-01,-1.0603823780e-05,8.3705811339e-06,1.5082728053e-01,6.0148148148e-01,2.0600565844e-01,1.9251286008e-01,1.0000000000e-04,5.7946279158e-01,-2.1050557523e-02,-4.7889752210e-02,0.04456738862461257,0.03671314700604908,0.03948433016040653
743,000,1.0010000000e+00,-2.4756591003e-03,2.0124005528e-03,1.0006934000e+00,1.0940419292e-01,-1.0546278799e-05,8.3239139689e-06,1.5102557978e-01,6.0140860768e-01,2.0591735254e-01,1.9267403978e-01,1.0000000000e-04,5.7912678099e-01,-2.1055918245e-02,-4.7903642881e-02,0.0445502441009108,0.03671308718138595,0.03949839733633492
