"c","Result","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.54511,0.77255,1,0.498,0.498,0.515,0
0.54472,0.77236,1,0.499,0.499,0.515,0
0.54433,0.77217,1,0.5,0.5,0.515,0
0.54395,0.77197,1,0.501,0.501,0.515,0
0.54357,0.77178,1,0.502,0.502,0.515,0
0.54319,0.77159,1,0.503,0.503,0.515,0
0.54281,0.7714,1,0.504,0.504,0.515,0
0.54243,0.77122,1,0.505,0.505,0.515,0
0.54206,0.77103,1,0.506,0.506,0.515,0
0.54168,0.77084,1,0.507,0.507,0.515,0
0.54131,0.77066,1,0.508,0.508,0.515,0
0.54094,0.77047,1,0.509,0.509,0.515,0
0.54057,0.77029,1,0.51,0.51,0.515,0
0.54021,0.7701,1,0.511,0.511,0.515,0
0.53984,0.76992,1,0.512,0.512,0.515,0
0.53948,0.76974,1,0.513,0.513,0.515,0
0.53912,0.76956,1,0.514,0.514,0.515,0
0.53874,0.76937,1,0.515,0.515,0.515,0
0.53837,0.76919,1,0.516,0.516,0.515,0
0.538,0.769,1,0.517,0.517,0.515,0
0.53763,0.76881,1,0.518,0.518,0.515,0
0.53726,0.76863,1,0.519,0.519,0.515,0
0.53689,0.76845,1,0.52,0.52,0.515,0
0.53653,0.76826,1,0.521,0.521,0.515,0
0.53617,0.76808,1,0.522,0.522,0.515,0
0.53581,0.7679,1,0.523,0.523,0.515,0
0.53545,0.76772,1,0.524,0.524,0.515,0
0.53509,0.76755,1,0.525,0.525,0.515,0
0.53473,0.76737,1,0.526,0.526,0.515,0
0.53438,0.76719,1,0.527,0.527,0.515,0
0.53403,0.76702,1,0.528,0.528,0.515,0
0.53368,0.76684,1,0.529,0.529,0.515,0
0.53333,0.76667,1,0.53,0.53,0.515,0
0.53299,0.76649,1,0.531,0.531,0.515,0
0.53264,0.76632,1,0.532,0.532,0.515,0
0.5323,0.76615,1,0.533,0.533,0.515,0
0.53197,0.76598,1,0.534,0.534,0.515,0
0.53165,0.76583,1,0.535,0.535,0.515,0
0.53134,0.76567,1,0.536,0.536,0.515,0
0.53103,0.76551,1,0.537,0.537,0.515,0
0.53071,0.76536,1,0.538,0.538,0.515,0
0.5304,0.7652,1,0.539,0.539,0.515,0
0.53009,0.76505,1,0.54,0.54,0.515,0
0.52978,0.76489,1,0.541,0.541,0.515,0
0.52947,0.76474,1,0.542,0.542,0.515,0
0.52917,0.76458,1,0.543,0.543,0.515,0
0.52886,0.76443,1,0.544,0.544,0.515,0
0.52855,0.76428,1,0.545,0.545,0.515,0
0.52825,0.76412,1,0.546,0.546,0.515,0
0.52794,0.76397,1,0.547,0.547,0.515,0
0.52764,0.76382,1,0.548,0.548,0.515,0
0.52734,0.76367,1,0.549,0.549,0.515,0
0.52704,0.76352,1,0.55,0.55,0.515,0
0.52673,0.76337,1,0.551,0.551,0.515,0
0.52643,0.76322,1,0.552,0.552,0.515,0
0.52614,0.76307,1,0.553,0.553,0.515,0
0.52584,0.76292,1,0.554,0.554,0.515,0
0.52554,0.76277,1,0.555,0.555,0.515,0
0.52524,0.76262,1,0.556,0.556,0.515,0
0.52495,0.76247,1,0.557,0.557,0.515,0
0.52465,0.76233,1,0.558,0.558,0.515,0
0.52436,0.76218,1,0.559,0.559,0.515,0
0.52407,0.76203,1,0.56,0.56,0.515,0
0.52377,0.76189,1,0.561,0.561,0.515,0
0.52348,0.76174,1,0.562,0.562,0.515,0
0.52319,0.7616,1,0.563,0.563,0.515,0
0.5229,0.76145,1,0.564,0.564,0.515,0
0.52261,0.76131,1,0.565,0.565,0.515,0
0.52233,0.76116,1,0.566,0.566,0.515,0
0.52204,0.76102,1,0.567,0.567,0.515,0
0.52175,0.76088,1,0.568,0.568,0.515,0
0.52147,0.76073,1,0.569,0.569,0.515,0
0.52118,0.76059,1,0.57,0.57,0.515,0
0.5209,0.76045,1,0.571,0.571,0.515,0
0.52062,0.76031,1,0.572,0.572,0.515,0
0.52034,0.76017,1,0.573,0.573,0.515,0
0.52006,0.76003,1,0.574,0.574,0.515,0
0.51978,0.75989,1,0.575,0.575,0.515,0
0.51951,0.75976,1,0.576,0.576,0.515,0
0.51927,0.75964,1,0.577,0.577,0.515,0
0.51903,0.75952,1,0.578,0.578,0.515,0
0.51879,0.7594,1,0.579,0.579,0.515,0
0.51855,0.75928,1,0.58,0.58,0.515,0
0.51832,0.75916,1,0.581,0.581,0.515,0
0.51808,0.75904,1,0.582,0.582,0.515,0
0.51784,0.75892,1,0.583,0.583,0.515,0
0.51761,0.7588,1,0.584,0.584,0.515,0
0.51737,0.75869,1,0.585,0.585,0.515,0
0.51714,0.75857,1,0.586,0.586,0.515,0
0.51691,0.75845,1,0.587,0.587,0.515,0
0.51667,0.75834,1,0.588,0.588,0.515,0
0.51644,0.75822,1,0.589,0.589,0.515,0
0.51621,0.75811,1,0.59,0.59,0.515,0
0.51598,0.75799,1,0.591,0.591,0.515,0
0.51575,0.75788,1,0.592,0.592,0.515,0
0.51552,0.75776,1,0.593,0.593,0.515,0
0.51529,0.75765,1,0.594,0.594,0.515,0
0.51507,0.75753,1,0.595,0.595,0.515,0
0.51484,0.75742,1,0.596,0.596,0.515,0
0.51461,0.75731,1,0.597,0.597,0.515,0
0.51437,0.75718,1,0.598,0.598,0.515,0
0.51413,0.75706,1,0.599,0.599,0.515,0
0.51388,0.75694,1,0.6,0.6,0.515,0
0.51364,0.75682,1,0.601,0.601,0.515,0
0.5134,0.7567,1,0.602,0.602,0.515,0
0.51316,0.75658,1,0.603,0.603,0.515,0
0.51292,0.75646,1,0.604,0.604,0.515,0
0.51269,0.75634,1,0.605,0.605,0.515,0
0.51245,0.75622,1,0.606,0.606,0.515,0
0.51221,0.75611,1,0.607,0.607,0.515,0
0.51198,0.75599,1,0.608,0.608,0.515,0
0.51174,0.75587,1,0.609,0.609,0.515,0
0.51151,0.75575,1,0.61,0.61,0.515,0
0.51127,0.75564,1,0.611,0.611,0.515,0
0.51104,0.75552,1,0.612,0.612,0.515,0
0.51081,0.7554,1,0.613,0.613,0.515,0
0.51058,0.75529,1,0.614,0.614,0.515,0
0.51035,0.75517,1,0.615,0.615,0.515,0
0.51012,0.75506,1,0.616,0.616,0.515,0
0.5099,0.75495,1,0.617,0.617,0.515,0
0.50971,0.75486,1,0.618,0.618,0.515,0
0.50952,0.75476,1,0.619,0.619,0.515,0
0.50933,0.75466,1,0.62,0.62,0.515,0
0.50914,0.75457,1,0.621,0.621,0.515,0
0.50895,0.75447,1,0.622,0.622,0.515,0
0.50876,0.75438,1,0.623,0.623,0.515,0
0.50857,0.75428,1,0.624,0.624,0.515,0
0.50838,0.75419,1,0.625,0.625,0.515,0
0.50819,0.7541,1,0.626,0.626,0.515,0
0.50801,0.754,1,0.627,0.627,0.515,0
0.50782,0.75391,1,0.628,0.628,0.515,0
0.50764,0.75382,1,0.629,0.629,0.515,0
0.50745,0.75373,1,0.63,0.63,0.515,0
0.50727,0.75363,1,0.631,0.631,0.515,0
0.50708,0.75354,1,0.632,0.632,0.515,0
0.5069,0.75345,1,0.633,0.633,0.515,0
0.50672,0.75336,1,0.634,0.634,0.515,0
0.50654,0.75327,1,0.635,0.635,0.515,0
0.50635,0.75318,1,0.636,0.636,0.515,0
0.50617,0.75309,1,0.637,0.637,0.515,0
0.50599,0.753,1,0.638,0.638,0.515,0
0.50582,0.75291,1,0.639,0.639,0.515,0
0.50564,0.75282,1,0.64,0.64,0.515,0
0.50546,0.75273,1,0.641,0.641,0.515,0
0.50528,0.75264,1,0.642,0.642,0.515,0
0.50511,0.75255,1,0.643,0.643,0.515,0
0.50493,0.75247,1,0.644,0.644,0.515,0
0.50476,0.75238,1,0.645,0.645,0.515,0
0.50458,0.75229,1,0.646,0.646,0.515,0
