"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.33665e-01,1,2.06000e-01,4.85000e-01,2.06000e-01,0.00000e+00
1.34213e-01,1,2.07000e-01,4.85000e-01,2.07000e-01,0.00000e+00
1.34760e-01,1,2.08000e-01,4.85000e-01,2.08000e-01,0.00000e+00
1.35307e-01,1,2.09000e-01,4.85000e-01,2.09000e-01,0.00000e+00
1.35853e-01,1,2.10000e-01,4.85000e-01,2.10000e-01,0.00000e+00
1.36399e-01,1,2.11000e-01,4.85000e-01,2.11000e-01,0.00000e+00
1.36944e-01,1,2.12000e-01,4.85000e-01,2.12000e-01,0.00000e+00
1.37489e-01,1,2.13000e-01,4.85000e-01,2.13000e-01,0.00000e+00
1.38033e-01,1,2.14000e-01,4.85000e-01,2.14000e-01,0.00000e+00
1.38576e-01,1,2.15000e-01,4.85000e-01,2.15000e-01,0.00000e+00
1.39119e-01,1,2.16000e-01,4.85000e-01,2.16000e-01,0.00000e+00
1.39661e-01,1,2.17000e-01,4.85000e-01,2.17000e-01,0.00000e+00
1.40203e-01,1,2.18000e-01,4.85000e-01,2.18000e-01,0.00000e+00
1.40744e-01,1,2.19000e-01,4.85000e-01,2.19000e-01,0.00000e+00
1.41285e-01,1,2.20000e-01,4.85000e-01,2.20000e-01,0.00000e+00
1.41825e-01,1,2.21000e-01,4.85000e-01,2.21000e-01,0.00000e+00
1.42364e-01,1,2.22000e-01,4.85000e-01,2.22000e-01,0.00000e+00
1.42903e-01,1,2.23000e-01,4.85000e-01,2.23000e-01,0.00000e+00
1.43441e-01,1,2.24000e-01,4.85000e-01,2.24000e-01,0.00000e+00
1.43979e-01,1,2.25000e-01,4.85000e-01,2.25000e-01,0.00000e+00
1.44516e-01,1,2.26000e-01,4.85000e-01,2.26000e-01,0.00000e+00
1.45053e-01,1,2.27000e-01,4.85000e-01,2.27000e-01,0.00000e+00
1.45589e-01,1,2.28000e-01,4.85000e-01,2.28000e-01,0.00000e+00
1.46124e-01,1,2.29000e-01,4.85000e-01,2.29000e-01,0.00000e+00
1.46659e-01,1,2.30000e-01,4.85000e-01,2.30000e-01,0.00000e+00
1.47194e-01,1,2.31000e-01,4.85000e-01,2.31000e-01,0.00000e+00
1.47728e-01,1,2.32000e-01,4.85000e-01,2.32000e-01,0.00000e+00
1.48261e-01,1,2.33000e-01,4.85000e-01,2.33000e-01,0.00000e+00
1.48794e-01,1,2.34000e-01,4.85000e-01,2.34000e-01,0.00000e+00
1.49326e-01,1,2.35000e-01,4.85000e-01,2.35000e-01,0.00000e+00
1.49855e-01,1,2.36000e-01,4.85000e-01,2.36000e-01,0.00000e+00
1.50366e-01,1,2.37000e-01,4.85000e-01,2.37000e-01,0.00000e+00
1.50876e-01,1,2.38000e-01,4.85000e-01,2.38000e-01,0.00000e+00
1.51387e-01,1,2.39000e-01,4.85000e-01,2.39000e-01,0.00000e+00
1.51896e-01,1,2.40000e-01,4.85000e-01,2.40000e-01,0.00000e+00
1.52406e-01,1,2.41000e-01,4.85000e-01,2.41000e-01,0.00000e+00
1.52914e-01,1,2.42000e-01,4.85000e-01,2.42000e-01,0.00000e+00
1.53422e-01,1,2.43000e-01,4.85000e-01,2.43000e-01,0.00000e+00
1.53930e-01,1,2.44000e-01,4.85000e-01,2.44000e-01,0.00000e+00
1.54437e-01,1,2.45000e-01,4.85000e-01,2.45000e-01,0.00000e+00
1.54944e-01,1,2.46000e-01,4.85000e-01,2.46000e-01,0.00000e+00
1.55450e-01,1,2.47000e-01,4.85000e-01,2.47000e-01,0.00000e+00
1.55955e-01,1,2.48000e-01,4.85000e-01,2.48000e-01,0.00000e+00
1.56460e-01,1,2.49000e-01,4.85000e-01,2.49000e-01,0.00000e+00
1.56965e-01,1,2.50000e-01,4.85000e-01,2.50000e-01,0.00000e+00
1.57469e-01,1,2.51000e-01,4.85000e-01,2.51000e-01,0.00000e+00
1.57973e-01,1,2.52000e-01,4.85000e-01,2.52000e-01,0.00000e+00
1.58476e-01,1,2.53000e-01,4.85000e-01,2.53000e-01,0.00000e+00
1.58978e-01,1,2.54000e-01,4.85000e-01,2.54000e-01,0.00000e+00
1.59484e-01,1,2.55000e-01,4.85000e-01,2.55000e-01,0.00000e+00
1.59998e-01,1,2.56000e-01,4.85000e-01,2.56000e-01,0.00000e+00
1.60510e-01,1,2.57000e-01,4.85000e-01,2.57000e-01,0.00000e+00
1.61023e-01,1,2.58000e-01,4.85000e-01,2.58000e-01,0.00000e+00
1.61534e-01,1,2.59000e-01,4.85000e-01,2.59000e-01,0.00000e+00
1.62045e-01,1,2.60000e-01,4.85000e-01,2.60000e-01,0.00000e+00
1.62556e-01,1,2.61000e-01,4.85000e-01,2.61000e-01,0.00000e+00
1.63066e-01,1,2.62000e-01,4.85000e-01,2.62000e-01,0.00000e+00
1.63575e-01,1,2.63000e-01,4.85000e-01,2.63000e-01,0.00000e+00
1.64084e-01,1,2.64000e-01,4.85000e-01,2.64000e-01,0.00000e+00
1.64593e-01,1,2.65000e-01,4.85000e-01,2.65000e-01,0.00000e+00
1.65100e-01,1,2.66000e-01,4.85000e-01,2.66000e-01,0.00000e+00
1.65608e-01,1,2.67000e-01,4.85000e-01,2.67000e-01,0.00000e+00
1.66114e-01,1,2.68000e-01,4.85000e-01,2.68000e-01,0.00000e+00
1.66621e-01,1,2.69000e-01,4.85000e-01,2.69000e-01,0.00000e+00
1.67126e-01,1,2.70000e-01,4.85000e-01,2.70000e-01,0.00000e+00
1.67631e-01,1,2.71000e-01,4.85000e-01,2.71000e-01,0.00000e+00
1.68136e-01,1,2.72000e-01,4.85000e-01,2.72000e-01,0.00000e+00
1.68640e-01,1,2.73000e-01,4.85000e-01,2.73000e-01,0.00000e+00
1.69143e-01,1,2.74000e-01,4.85000e-01,2.74000e-01,0.00000e+00
1.69628e-01,1,2.75000e-01,4.85000e-01,2.75000e-01,0.00000e+00
1.70113e-01,1,2.76000e-01,4.85000e-01,2.76000e-01,0.00000e+00
