"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.31922e-01,1,1.32000e-01,1.32000e-01,5.15000e-01,0.00000e+00
3.31698e-01,1,1.33000e-01,1.33000e-01,5.15000e-01,0.00000e+00
3.31474e-01,1,1.34000e-01,1.34000e-01,5.15000e-01,0.00000e+00
3.31252e-01,1,1.35000e-01,1.35000e-01,5.15000e-01,0.00000e+00
3.31030e-01,1,1.36000e-01,1.36000e-01,5.15000e-01,0.00000e+00
3.30809e-01,1,1.37000e-01,1.37000e-01,5.15000e-01,0.00000e+00
3.30589e-01,1,1.38000e-01,1.38000e-01,5.15000e-01,0.00000e+00
3.30370e-01,1,1.39000e-01,1.39000e-01,5.15000e-01,0.00000e+00
3.30151e-01,1,1.40000e-01,1.40000e-01,5.15000e-01,0.00000e+00
3.29934e-01,1,1.41000e-01,1.41000e-01,5.15000e-01,0.00000e+00
3.29717e-01,1,1.42000e-01,1.42000e-01,5.15000e-01,0.00000e+00
3.29501e-01,1,1.43000e-01,1.43000e-01,5.15000e-01,0.00000e+00
3.29286e-01,1,1.44000e-01,1.44000e-01,5.15000e-01,0.00000e+00
3.29071e-01,1,1.45000e-01,1.45000e-01,5.15000e-01,0.00000e+00
3.28858e-01,1,1.46000e-01,1.46000e-01,5.15000e-01,0.00000e+00
3.28645e-01,1,1.47000e-01,1.47000e-01,5.15000e-01,0.00000e+00
3.28433e-01,1,1.48000e-01,1.48000e-01,5.15000e-01,0.00000e+00
3.28221e-01,1,1.49000e-01,1.49000e-01,5.15000e-01,0.00000e+00
3.28011e-01,1,1.50000e-01,1.50000e-01,5.15000e-01,0.00000e+00
3.27801e-01,1,1.51000e-01,1.51000e-01,5.15000e-01,0.00000e+00
3.27592e-01,1,1.52000e-01,1.52000e-01,5.15000e-01,0.00000e+00
3.27384e-01,1,1.53000e-01,1.53000e-01,5.15000e-01,0.00000e+00
3.27177e-01,1,1.54000e-01,1.54000e-01,5.15000e-01,0.00000e+00
3.26970e-01,1,1.55000e-01,1.55000e-01,5.15000e-01,0.00000e+00
3.26765e-01,1,1.56000e-01,1.56000e-01,5.15000e-01,0.00000e+00
3.26560e-01,1,1.57000e-01,1.57000e-01,5.15000e-01,0.00000e+00
3.26355e-01,1,1.58000e-01,1.58000e-01,5.15000e-01,0.00000e+00
3.26152e-01,1,1.59000e-01,1.59000e-01,5.15000e-01,0.00000e+00
3.25949e-01,1,1.60000e-01,1.60000e-01,5.15000e-01,0.00000e+00
3.25747e-01,1,1.61000e-01,1.61000e-01,5.15000e-01,0.00000e+00
3.25546e-01,1,1.62000e-01,1.62000e-01,5.15000e-01,0.00000e+00
3.25345e-01,1,1.63000e-01,1.63000e-01,5.15000e-01,0.00000e+00
3.25146e-01,1,1.64000e-01,1.64000e-01,5.15000e-01,0.00000e+00
3.24948e-01,1,1.65000e-01,1.65000e-01,5.15000e-01,0.00000e+00
3.24750e-01,1,1.66000e-01,1.66000e-01,5.15000e-01,0.00000e+00
3.24553e-01,1,1.67000e-01,1.67000e-01,5.15000e-01,0.00000e+00
3.24357e-01,1,1.68000e-01,1.68000e-01,5.15000e-01,0.00000e+00
3.24162e-01,1,1.69000e-01,1.69000e-01,5.15000e-01,0.00000e+00
3.23967e-01,1,1.70000e-01,1.70000e-01,5.15000e-01,0.00000e+00
3.23773e-01,1,1.71000e-01,1.71000e-01,5.15000e-01,0.00000e+00
3.23580e-01,1,1.72000e-01,1.72000e-01,5.15000e-01,0.00000e+00
3.23387e-01,1,1.73000e-01,1.73000e-01,5.15000e-01,0.00000e+00
3.23196e-01,1,1.74000e-01,1.74000e-01,5.15000e-01,0.00000e+00
3.23005e-01,1,1.75000e-01,1.75000e-01,5.15000e-01,0.00000e+00
3.22814e-01,1,1.76000e-01,1.76000e-01,5.15000e-01,0.00000e+00
3.22625e-01,1,1.77000e-01,1.77000e-01,5.15000e-01,0.00000e+00
3.22436e-01,1,1.78000e-01,1.78000e-01,5.15000e-01,0.00000e+00
3.22248e-01,1,1.79000e-01,1.79000e-01,5.15000e-01,0.00000e+00
3.22060e-01,1,1.80000e-01,1.80000e-01,5.15000e-01,0.00000e+00
3.21866e-01,1,1.81000e-01,1.81000e-01,5.15000e-01,0.00000e+00
3.21673e-01,1,1.82000e-01,1.82000e-01,5.15000e-01,0.00000e+00
